 
  >> Using map h1_nh_HI4PI.fits
 
 LII , BII 112.685596    0.050659
 Requested position at X and Y pixel   647.60    974.69
  WARNING:  Input size  1.00 < distance  2.500
  Set size == distance
 
 Search nH in 30 X 30 pixels box
 Each pixel is  0.083 deg 0.083 deg
 
     RA       DEC      Dist(deg)        nH
  351.5958  60.8111   0.4215    7.43E+21
  351.4126  60.7804   0.4193    7.50E+21
  351.2297  60.7494   0.4378    7.54E+21
  351.0473  60.7182   0.4746    7.50E+21
  350.8652  60.6868   0.5256    7.44E+21
  350.6836  60.6551   0.5873    7.41E+21
  350.5023  60.6232   0.6565    7.45E+21
  350.3215  60.5910   0.7311    7.53E+21
  350.1410  60.5586   0.8096    7.59E+21
  349.9610  60.5260   0.8908    7.60E+21
  349.7813  60.4931   0.9742    7.62E+21
  349.6021  60.4600   1.0591    7.65E+21
  349.4232  60.4267   1.1452    7.69E+21
  349.2448  60.3931   1.2322    7.72E+21
  349.0668  60.3593   1.3199    7.75E+21
  348.8892  60.3253   1.4082    7.76E+21
  354.1566  61.2850   1.4283    7.92E+21
  353.9676  61.2577   1.3357    7.66E+21
  353.7790  61.2302   1.2437    7.40E+21
  353.5908  61.2025   1.1523    7.13E+21
  353.4030  61.1744   1.0618    6.83E+21
  353.2155  61.1461   0.9722    6.51E+21
  353.0284  61.1176   0.8839    6.26E+21
  352.8417  61.0888   0.7973    6.16E+21
  352.6554  61.0598   0.7129    6.21E+21
  352.4695  61.0305   0.6315    6.36E+21
  352.2839  61.0010   0.5545    6.58E+21
  352.0988  60.9712   0.4839    6.84E+21
  351.9140  60.9412   0.4229    7.10E+21
  351.7296  60.9109   0.3760    7.29E+21
  351.5456  60.8804   0.3490    7.42E+21
  351.3620  60.8496   0.3463    7.50E+21
  351.1788  60.8186   0.3686    7.49E+21
  350.9960  60.7873   0.4116    7.43E+21
  350.8136  60.7558   0.4697    7.41E+21
  350.6316  60.7241   0.5379    7.47E+21
  350.4500  60.6921   0.6129    7.59E+21
  350.2688  60.6599   0.6923    7.69E+21
  350.0880  60.6275   0.7748    7.74E+21
  349.9076  60.5948   0.8595    7.74E+21
  349.7276  60.5618   0.9457    7.75E+21
  349.5481  60.5287   1.0331    7.79E+21
  349.3689  60.4953   1.1213    7.84E+21
  349.1901  60.4617   1.2102    7.85E+21
  349.0118  60.4278   1.2995    7.84E+21
  348.8338  60.3937   1.3892    7.81E+21
  354.1118  61.3550   1.4134    7.76E+21
  353.9225  61.3277   1.3196    7.53E+21
  353.7335  61.3001   1.2262    7.29E+21
  353.5449  61.2723   1.1333    7.01E+21
  353.3567  61.2442   1.0410    6.68E+21
  353.1688  61.2159   0.9493    6.36E+21
  352.9814  61.1873   0.8585    6.13E+21
  352.7943  61.1585   0.7689    6.04E+21
  352.6076  61.1294   0.6808    6.08E+21
  352.4213  61.1001   0.5950    6.22E+21
  352.2353  61.0705   0.5124    6.42E+21
  352.0498  61.0407   0.4349    6.68E+21
  351.8647  61.0106   0.3657    6.96E+21
  351.6799  60.9802   0.3102    7.20E+21
  351.4956  60.9497   0.2768    7.37E+21
  351.3116  60.9188   0.2735    7.45E+21
  351.1281  60.8878   0.3012    7.40E+21
  350.9449  60.8565   0.3527    7.31E+21
  350.7621  60.8249   0.4191    7.33E+21
  350.5798  60.7931   0.4945    7.48E+21
  350.3978  60.7611   0.5752    7.67E+21
  350.2163  60.7288   0.6594    7.81E+21
  350.0351  60.6963   0.7457    7.86E+21
  349.8544  60.6636   0.8334    7.85E+21
  349.6741  60.6306   0.9222    7.85E+21
  349.4942  60.5974   1.0117    7.90E+21
  349.3146  60.5639   1.1018    7.94E+21
  349.1355  60.5302   1.1922    7.92E+21
  348.9569  60.4963   1.2829    7.87E+21
  348.7786  60.4622   1.3738    7.80E+21
  354.0672  61.4250   1.4022    7.65E+21
  353.8775  61.3977   1.3075    7.43E+21
  353.6881  61.3701   1.2130    7.20E+21
  353.4991  61.3422   1.1188    6.91E+21
  353.3105  61.3141   1.0250    6.59E+21
  353.1222  61.2857   0.9316    6.29E+21
  352.9344  61.2571   0.8388    6.10E+21
