 
  >> Using map h1_nh_HI4PI.fits
 
 LII , BII   8.860643   49.256719
 Requested position at X and Y pixel  1869.69   1547.38
  WARNING:  Input size  1.00 < distance  2.500
  Set size == distance
 
 Search nH in 30 X 30 pixels box
 Each pixel is  0.083 deg 0.083 deg
 
     RA       DEC      Dist(deg)        nH
  230.4875   6.0206   0.8203    3.28E+20
  230.4430   5.9588   0.7967    3.33E+20
  230.3984   5.8971   0.7797    3.33E+20
  230.3538   5.8354   0.7697    3.31E+20
  230.3091   5.7738   0.7671    3.29E+20
  230.2643   5.7122   0.7719    3.28E+20
  230.2194   5.6507   0.7840    3.30E+20
  230.1745   5.5892   0.8030    3.32E+20
  230.1295   5.5278   0.8285    3.33E+20
  230.0844   5.4665   0.8599    3.37E+20
  230.0392   5.4052   0.8965    3.42E+20
  229.9940   5.3440   0.9378    3.50E+20
  229.9487   5.2828   0.9832    3.58E+20
  229.9033   5.2217   1.0321    3.66E+20
  229.8579   5.1607   1.0841    3.73E+20
  229.8123   5.0997   1.1387    3.79E+20
  229.7667   5.0388   1.1955    3.87E+20
  229.7211   4.9779   1.2543    3.94E+20
  229.6753   4.9171   1.3148    3.98E+20
  229.6295   4.8564   1.3768    3.99E+20
  230.8578   6.7012   1.2522    3.05E+20
  230.8141   6.6389   1.1892    3.05E+20
  230.7703   6.5766   1.1279    3.04E+20
  230.7265   6.5143   1.0683    3.03E+20
  230.6825   6.4521   1.0109    3.01E+20
  230.6385   6.3900   0.9560    3.00E+20
  230.5944   6.3279   0.9041    3.00E+20
  230.5503   6.2659   0.8558    3.02E+20
  230.5060   6.2040   0.8116    3.07E+20
  230.4617   6.1420   0.7723    3.13E+20
  230.4173   6.0802   0.7387    3.20E+20
  230.3728   6.0184   0.7115    3.27E+20
  230.3283   5.9567   0.6916    3.30E+20
  230.2837   5.8950   0.6795    3.30E+20
  230.2390   5.8334   0.6757    3.31E+20
  230.1943   5.7718   0.6803    3.32E+20
  230.1494   5.7103   0.6932    3.35E+20
  230.1045   5.6489   0.7139    3.37E+20
  230.0595   5.5875   0.7417    3.40E+20
  230.0145   5.5262   0.7759    3.43E+20
  229.9694   5.4649   0.8157    3.48E+20
  229.9241   5.4037   0.8602    3.55E+20
  229.8789   5.3425   0.9089    3.62E+20
  229.8335   5.2814   0.9610    3.68E+20
  229.7881   5.2204   1.0161    3.72E+20
  229.7426   5.1594   1.0737    3.78E+20
  229.6970   5.0985   1.1333    3.86E+20
  229.6514   5.0377   1.1948    3.94E+20
  229.6056   4.9769   1.2578    3.99E+20
  229.5598   4.9161   1.3221    4.01E+20
  230.7874   6.7607   1.2123    3.01E+20
  230.7437   6.6984   1.1466    3.02E+20
  230.6999   6.6361   1.0822    3.02E+20
  230.6561   6.5738   1.0194    3.03E+20
  230.6122   6.5117   0.9584    3.02E+20
  230.5682   6.4495   0.8997    3.01E+20
  230.5241   6.3875   0.8436    3.01E+20
  230.4800   6.3255   0.7908    3.02E+20
  230.4358   6.2635   0.7420    3.04E+20
  230.3915   6.2016   0.6979    3.09E+20
  230.3471   6.1398   0.6596    3.16E+20
  230.3027   6.0780   0.6281    3.22E+20
  230.2582   6.0163   0.6045    3.26E+20
  230.2136   5.9546   0.5897    3.29E+20
  230.1690   5.8930   0.5843    3.32E+20
  230.1242   5.8315   0.5887    3.34E+20
  230.0794   5.7700   0.6026    3.37E+20
  230.0345   5.7085   0.6254    3.41E+20
  229.9896   5.6472   0.6561    3.45E+20
  229.9445   5.5858   0.6938    3.48E+20
  229.8994   5.5246   0.7372    3.52E+20
  229.8543   5.4634   0.7856    3.58E+20
  229.8090   5.4023   0.8380    3.64E+20
  229.7637   5.3412   0.8937    3.69E+20
  229.7183   5.2802   0.9521    3.71E+20
  229.6728   5.2192   1.0128    3.75E+20
  229.6272   5.1583   1.0754    3.82E+20
  229.5816   5.0974   1.1395    3.89E+20
  229.5359   5.0367   1.2050    3.94E+20
  229.4901   4.9759   1.2715    3.96E+20
  230.7169   6.8202   1.1782    2.95E+20
  230.6732   6.7579   1.1099    2.97E+20
  230.6295   6.6956   1.0427    2.98E+20
  230.5857   6.6334   0.9767    2.99E+20
  230.5418   6.5712   0.9122    2.99E+20
  230.4978   6.5091   0.8495    2.99E+20
  230.4538   6.4470   0.7891    3.00E+20
  230.4097   6.3850   0.7316    3.02E+20
  230.3655   6.3231   0.6776    3.04E+20
  230.3213   6.2612   0.6281    3.07E+20
  230.2769   6.1994   0.5843    3.13E+20
  230.2325   6.1376   0.5474    3.19E+20
  230.1880   6.0759   0.5190    3.24E+20
  230.1435   6.0143   0.5005    3.29E+20
  230.0988   5.9527   0.4930    3.33E+20
  230.0541   5.8911   0.4971    3.36E+20
  230.0094   5.8296   0.5124    3.38E+20
  229.9645   5.7682   0.5379    3.42E+20
  229.9196   5.7069   0.5724    3.46E+20
  229.8746   5.6456   0.6143    3.49E+20
  229.8295   5.5843   0.6622    3.53E+20
  229.7843   5.5231   0.7149    3.58E+20
  229.7391   5.4620   0.7714    3.63E+20
  229.6938   5.4009   0.8309    3.66E+20
  229.6484   5.3399   0.8929    3.68E+20
  229.6030   5.2790   0.9568    3.70E+20
  229.5575   5.2181   1.0223    3.74E+20
  229.5119   5.1573   1.0891    3.80E+20
  229.4662   5.0965   1.1570    3.85E+20
  229.4204   5.0358   1.2257    3.88E+20
